id,date,primary_type,location_description,arrest,domestic,community_area,year,latitude,longitude
13969458,2025-09-16T19:30:00.000,OTHER OFFENSE,RESIDENCE,False,False,67,2025,41.762384743,-87.669820886
13969038,2025-09-16T19:30:00.000,ASSAULT,CHA HALLWAY / STAIRWELL / ELEVATOR,False,False,69,2025,41.779073436,-87.615600014
13969616,2025-09-16T19:30:00.000,MOTOR VEHICLE THEFT,STREET,False,False,39,2025,41.805869465,-87.585195364
13969163,2025-09-16T19:30:00.000,THEFT,ATHLETIC CLUB,False,False,25,2025,41.909588772,-87.748894125
13969079,2025-09-16T19:28:00.000,BATTERY,APARTMENT,False,False,39,2025,41.81600695,-87.601834735
13969050,2025-09-16T19:25:00.000,THEFT,DRUG STORE,False,False,77,2025,41.993043969,-87.660360363
13969082,2025-09-16T19:25:00.000,BATTERY,SIDEWALK,True,False,34,2025,41.826334245,-87.631399489
13968975,2025-09-16T19:23:00.000,THEFT,SMALL RETAIL STORE,False,False,63,2025,41.794172544,-87.70357593
13968967,2025-09-16T19:20:00.000,BATTERY,STREET,False,False,36,2025,41.823665846,-87.603072021
13968982,2025-09-16T19:19:00.000,CRIMINAL TRESPASS,SCHOOL - PUBLIC GROUNDS,False,False,60,2025,41.830117795,-87.641217375
13969076,2025-09-16T19:16:00.000,OTHER OFFENSE,STREET,True,False,26,2025,41.881891477,-87.721561037
13969048,2025-09-16T19:12:00.000,WEAPONS VIOLATION,STREET,True,False,52,2025,41.705734855,-87.537705858
13972276,2025-09-16T19:10:00.000,THEFT,APARTMENT,False,True,43,2025,41.759147704,-87.554994786
13968890,2025-09-16T19:09:00.000,NARCOTICS,STREET,True,False,67,2025,41.760482832,-87.655696234
13968850,2025-09-16T19:09:00.000,NARCOTICS,SIDEWALK,True,False,26,2025,41.878450415,-87.723150787
13968971,2025-09-16T19:05:00.000,THEFT,DEPARTMENT STORE,False,False,63,2025,41.796248561,-87.684096904
13968891,2025-09-16T19:01:00.000,BATTERY,SIDEWALK,False,False,32,2025,41.876870027,-87.632796531
13969207,2025-09-16T19:00:00.000,THEFT,STREET,False,False,49,2025,41.692620138,-87.62012081
13975619,2025-09-16T19:00:00.000,CRIMINAL DAMAGE,STREET,False,False,4,2025,,
13970828,2025-09-16T19:00:00.000,MOTOR VEHICLE THEFT,STREET,False,False,42,2025,41.77405332,-87.604573578
13969299,2025-09-16T19:00:00.000,CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,28,2025,41.866900325,-87.662701926
13970686,2025-09-16T19:00:00.000,WEAPONS VIOLATION,PARK PROPERTY,False,False,67,2025,41.761228524,-87.667772896
13969053,2025-09-16T18:57:00.000,THEFT,GROCERY FOOD STORE,True,False,59,2025,41.827373751,-87.682568055
13968980,2025-09-16T18:52:00.000,THEFT,RESIDENCE,False,False,77,2025,41.984271654,-87.671365591
13968960,2025-09-16T18:50:00.000,CRIMINAL DAMAGE,SMALL RETAIL STORE,False,False,74,2025,41.692563205,-87.70086269
13969168,2025-09-16T18:50:00.000,BATTERY,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,42,2025,41.780590713,-87.57663492
13969241,2025-09-16T18:50:00.000,CRIMINAL DAMAGE,STREET,False,False,8,2025,41.893159621,-87.636368521
13969054,2025-09-16T18:50:00.000,OTHER OFFENSE,APARTMENT,False,True,16,2025,41.939993597,-87.728000517
13969334,2025-09-16T18:45:00.000,CRIMINAL DAMAGE,STREET,False,False,28,2025,41.879129725,-87.652615517
13970493,2025-09-16T18:45:00.000,BURGLARY,CAR WASH,False,False,22,2025,41.924991208,-87.680952282
13968877,2025-09-16T18:44:00.000,THEFT,DEPARTMENT STORE,False,False,2,2025,41.990615196,-87.683188577
13969662,2025-09-16T18:44:00.000,BATTERY,RESIDENCE,False,True,71,2025,41.742210141,-87.672945346
13968964,2025-09-16T18:39:00.000,ROBBERY,DEPARTMENT STORE,False,False,38,2025,41.80950879,-87.608371773
13969055,2025-09-16T18:39:00.000,NARCOTICS,STREET,True,False,69,2025,41.761536639,-87.611536378
13968936,2025-09-16T18:38:00.000,NARCOTICS,RESTAURANT,True,False,69,2025,41.751452878,-87.624567581
13968992,2025-09-16T18:32:00.000,ASSAULT,RESIDENCE,False,False,68,2025,41.792137805,-87.634097628
13969114,2025-09-16T18:30:00.000,BATTERY,STREET,False,False,24,2025,41.899898549,-87.661071135
13969259,2025-09-16T18:30:00.000,MOTOR VEHICLE THEFT,STREET,False,False,43,2025,41.764226388,-87.587105205
13969057,2025-09-16T18:30:00.000,ASSAULT,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,4,2025,41.976010243,-87.68071134
13968932,2025-09-16T18:30:00.000,THEFT,SMALL RETAIL STORE,True,False,28,2025,41.868385458,-87.639229711
13968988,2025-09-16T18:27:00.000,ASSAULT,APARTMENT,True,True,26,2025,41.886012699,-87.720926787
13968957,2025-09-16T18:26:00.000,CRIMINAL DAMAGE,RESIDENCE,False,False,46,2025,41.74577068,-87.557640852
13968886,2025-09-16T18:20:00.000,MOTOR VEHICLE THEFT,STREET,False,False,28,2025,41.884241264,-87.650600239
13969141,2025-09-16T18:19:00.000,MOTOR VEHICLE THEFT,STREET,False,False,66,2025,41.776781366,-87.696992972
13970059,2025-09-16T18:16:00.000,THEFT,OTHER (SPECIFY),False,False,28,2025,41.868541914,-87.639235361
13968908,2025-09-16T18:15:00.000,ROBBERY,PARK PROPERTY,False,False,51,2025,41.704574292,-87.565584886
13968842,2025-09-16T18:14:00.000,CRIMINAL DAMAGE,APARTMENT,False,False,16,2025,41.9408712,-87.727896651
13968951,2025-09-16T18:14:00.000,THEFT,GROCERY FOOD STORE,True,False,49,2025,41.707302954,-87.614501821
13969106,2025-09-16T18:13:00.000,CRIMINAL TRESPASS,GOVERNMENT BUILDING / PROPERTY,False,False,25,2025,41.894991356,-87.747120967
13968904,2025-09-16T18:08:00.000,OTHER OFFENSE,RESIDENCE,False,False,53,2025,41.685006117,-87.647878191
13969286,2025-09-16T18:00:00.000,OTHER OFFENSE,APARTMENT,False,True,42,2025,41.783242077,-87.593121557
13969484,2025-09-16T18:00:00.000,CRIMINAL DAMAGE,STREET,False,False,10,2025,41.984915684,-87.806926828
13969352,2025-09-16T18:00:00.000,DECEPTIVE PRACTICE,RESIDENCE,False,False,38,2025,41.808500903,-87.616562762
13968898,2025-09-16T18:00:00.000,ASSAULT,STREET,False,False,17,2025,41.941008687,-87.834053795
13971946,2025-09-16T18:00:00.000,THEFT,APARTMENT,False,False,1,2025,42.004204644,-87.660838791
13974890,2025-09-16T18:00:00.000,THEFT,RESTAURANT,False,False,8,2025,41.896585716,-87.634773905
13969505,2025-09-16T18:00:00.000,THEFT,APARTMENT,False,False,77,2025,41.995323698,-87.656974008
13969441,2025-09-16T18:00:00.000,THEFT,RESIDENCE,False,True,19,2025,41.933355462,-87.790603333
13969916,2025-09-16T18:00:00.000,THEFT,STREET,False,False,77,2025,41.985952785,-87.665025405
13969088,2025-09-16T17:58:00.000,CRIMINAL DAMAGE,RESIDENCE,False,False,49,2025,41.724619212,-87.616634982
13968984,2025-09-16T17:52:00.000,ASSAULT,SIDEWALK,False,True,71,2025,41.751375347,-87.667105094
13970026,2025-09-16T17:50:00.000,THEFT,DRUG STORE,False,False,8,2025,41.891037284,-87.618343879
13968864,2025-09-16T17:50:00.000,ASSAULT,STREET,False,False,53,2025,41.660140159,-87.618236006
13969130,2025-09-16T17:45:00.000,CRIMINAL SEXUAL ASSAULT,RESIDENCE,False,False,19,2025,41.926242849,-87.768501239
13969179,2025-09-16T17:42:00.000,BATTERY,STREET,False,False,32,2025,41.885587487,-87.629491626
13968845,2025-09-16T17:40:00.000,THEFT,CURRENCY EXCHANGE,False,False,69,2025,41.758126171,-87.631582508
13968920,2025-09-16T17:39:00.000,CRIMINAL TRESPASS,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,16,2025,41.960211239,-87.708216117
13968866,2025-09-16T17:36:00.000,WEAPONS VIOLATION,CONVENIENCE STORE,True,False,40,2025,41.783870124,-87.616426502
13968787,2025-09-16T17:30:00.000,CRIMINAL DAMAGE,STREET,False,False,28,2025,41.881949766,-87.647367397
13969495,2025-09-16T17:30:00.000,ASSAULT,APARTMENT,False,False,61,2025,41.795081408,-87.663399816
13970080,2025-09-16T17:30:00.000,THEFT,SMALL RETAIL STORE,False,False,32,2025,41.882470918,-87.627847625
13970416,2025-09-16T17:30:00.000,BURGLARY,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,32,2025,41.869285324,-87.62525371
13968948,2025-09-16T17:30:00.000,ASSAULT,STREET,False,True,50,2025,41.71189156,-87.598035399
13968919,2025-09-16T17:30:00.000,THEFT,SMALL RETAIL STORE,False,False,28,2025,41.877822179,-87.655181405
13969326,2025-09-16T17:30:00.000,BURGLARY,STREET,False,False,19,2025,41.935299015,-87.772464128
13969753,2025-09-16T17:20:00.000,BATTERY,APARTMENT,False,False,30,2025,41.850938974,-87.702777187
13968925,2025-09-16T17:20:00.000,CRIMINAL TRESPASS,APARTMENT,False,True,6,2025,41.943798856,-87.668773982
13970492,2025-09-16T17:20:00.000,BURGLARY,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,22,2025,41.930896787,-87.697587655
13969125,2025-09-16T17:20:00.000,BATTERY,STREET,True,True,27,2025,41.88090842,-87.711736421
13968939,2025-09-16T17:19:00.000,THEFT,CONVENIENCE STORE,True,False,49,2025,41.707246223,-87.618164684
13968752,2025-09-16T17:10:00.000,DECEPTIVE PRACTICE,CTA PLATFORM,True,False,32,2025,41.885888079,-87.627942238
13968816,2025-09-16T17:01:00.000,ASSAULT,DEPARTMENT STORE,False,False,24,2025,41.904938866,-87.66894203
13969447,2025-09-16T17:00:00.000,CRIMINAL DAMAGE,STREET,False,False,1,2025,42.021126585,-87.667181812
13968918,2025-09-16T17:00:00.000,MOTOR VEHICLE THEFT,STREET,False,False,49,2025,41.711053916,-87.607867627
13968804,2025-09-16T17:00:00.000,BATTERY,RESIDENCE,False,True,54,2025,41.656413759,-87.609535041
13969170,2025-09-16T17:00:00.000,BATTERY,SIDEWALK,False,False,32,2025,41.875655811,-87.627213918
13969721,2025-09-16T17:00:00.000,OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE,False,False,7,2025,41.927493699,-87.651623872
13970798,2025-09-16T17:00:00.000,MOTOR VEHICLE THEFT,STREET,False,False,31,2025,41.857595418,-87.643387953
13970350,2025-09-16T17:00:00.000,BURGLARY,STREET,False,False,19,2025,41.937158982,-87.770095594
13968930,2025-09-16T17:00:00.000,OTHER OFFENSE,STREET,False,False,32,2025,41.876382676,-87.630734588
13972657,2025-09-16T17:00:00.000,MOTOR VEHICLE THEFT,STREET,False,True,68,2025,41.775551666,-87.651966836
13968916,2025-09-16T17:00:00.000,THEFT,STREET,False,False,22,2025,41.925861704,-87.678643042
13968830,2025-09-16T17:00:00.000,BURGLARY,VEHICLE NON-COMMERCIAL,False,False,22,2025,41.925886611,-87.678679535
